,Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,TenureByAge,BalanceSalaryRatio,CreditScoreGivenAge,HasCrCard,IsActiveMember,Geography_Spain,Geography_France,Geography_Germany,Gender_Male,Gender_Female
0,0,0.8925081433224755,0.18867924528301888,0.6,0.4096210986439924,0.3333333333333333,0.5891627487408181,0.46315789473684205,0.2572973688892704,0.5950891759757463,-1,1,1,-1,-1,1,-1
1,1,0.7687296416938111,0.49056603773584906,0.4,0.0,0.0,0.6540322778081714,0.2024691358024691,0.04706573120075421,0.26723558015722,1,-1,-1,1,-1,-1,1
2,0,0.7361563517915309,0.05660377358490566,0.6,0.4560251292452607,0.0,0.8875137829696641,0.5978494623655913,0.1919046287983818,0.7367628103185629,1,1,-1,1,-1,-1,1
3,0,0.4755700325732899,0.22641509433962265,0.4,0.33195372332533485,0.0,0.6277696589168165,0.32,0.2077951068654774,0.37986507524649715,1,-1,1,-1,-1,-1,1
4,0,1.0,0.2641509433962264,0.6,0.45986372914834006,0.0,0.810458625667256,0.4063492063492063,0.21280964230500743,0.5422195863296018,-1,1,1,-1,-1,1,-1
5,0,0.4201954397394137,0.2641509433962264,0.6,0.33365899234809687,0.0,0.16618789189067043,0.4063492063492063,0.4219043401026753,0.32228729582128646,1,1,-1,1,-1,-1,1
6,0,0.41042345276872966,0.16981132075471697,0.8,0.5814143439737923,0.0,0.6874639241656537,0.6018018018018019,0.3029854993582019,0.41408715409753294,1,-1,-1,1,-1,1,-1
7,0,1.0,0.11320754716981132,0.8,0.4907422305543703,0.0,0.372104752452686,0.6666666666666667,0.3954470854383422,0.7611343447602186,1,-1,-1,-1,1,-1,1
8,0,0.3257328990228013,0.33962264150943394,0.2,0.0,0.3333333333333333,0.26232392874192917,0.16231884057971013,0.1422005881681298,0.22779269420816317,1,1,-1,1,-1,1,-1
9,0,0.6872964169381107,0.32075471698113206,0.4,0.6252108291878554,0.3333333333333333,0.4444382715991258,0.26962962962962966,0.4318500747064913,0.36948624805396985,-1,-1,-1,1,-1,1,-1
10,0,0.5570032573289903,0.1320754716981132,0.4,0.0,0.3333333333333333,0.8837804932019709,0.3847619047619048,0.013483337063636715,0.5266513455408111,1,1,1,-1,-1,1,-1
